4.200, -182.102, 74.713,-1.325, 1.782, 2.083, 0.301,1.367, -181.357,73.358, 0.404, 1.362, -0.127, -0.131
4.250, -182.085, 74.625,-1.329, 1.790, 2.092, 0.302,1.372, -181.357,73.268, 0.392, 1.350, -0.123, -0.127
4.300, -182.068, 74.537,-1.332, 1.801, 2.101, 0.300,1.377, -181.357,73.179, 0.380, 1.339, -0.120, -0.124
4.350, -182.052, 74.448,-1.336, 1.809, 2.110, 0.301,1.382, -181.358,73.089, 0.369, 1.328, -0.116, -0.120
4.400, -182.035, 74.358,-1.340, 1.819, 2.119, 0.300,1.387, -181.358,72.990, -0.357, 1.317, -0.113, -0.109
4.450, -182.019, 74.268,-1.343, 1.827, 2.127, 0.300,1.392, -181.358,72.900, -0.345, 1.306, -0.110, -0.106
4.500, -182.002, 74.178,-1.346, 1.837, 2.136, 0.300,1.397, -181.358,72.811, -0.332, 1.295, -0.107, -0.104
4.550, -181.986, 74.087,-1.349, 1.844, 2.145, 0.301,1.402, -181.358,72.721, -0.320, 1.284, -0.104, -0.101
4.600, -181.970, 73.996,-1.352, 1.853, 2.154, 0.301,1.407, -181.359,72.632, 0.308, 1.274, -0.102, -0.105
4.650, -181.954, 73.905,-1.356, 1.860, 2.163, 0.303,1.412, -181.359,72.532, -0.296, 1.263, -0.133, -0.130
4.700, -181.939, 73.812,-1.359, 1.868, 2.173, 0.305,1.417, -181.359,72.438, -0.286, 1.253, -0.130, -0.127
4.750, -181.924, 73.720,-1.363, 1.875, 2.182, 0.307,1.421, -181.359,72.349, -0.277, 1.243, -0.127, -0.124
4.800, -181.910, 73.627,-1.367, 1.886, 2.191, 0.305,1.426, -181.360,72.259, 0.267, 1.232, -0.123, -0.126
4.850, -181.896, 73.533,-1.371, 1.894, 2.201, 0.307,1.431, -181.360,72.160, -0.258, 1.222, -0.120, -0.117
4.900, -181.882, 73.439,-1.375, 1.905, 2.210, 0.305,1.436, -181.360,72.060, -0.249, 1.212, -0.117, -0.114
4.950, -181.868, 73.344,-1.378, 1.914, 2.220, 0.306,1.441, -181.360,71.971, 0.240, 1.203, -0.113, -0.116
5.000, -181.854, 73.249,-1.382, 1.924, 2.229, 0.305,1.446, -181.361,71.871, -0.231, 1.193, -0.110, -0.108
5.050, -181.841, 73.153,-1.385, 1.932, 2.239, 0.307,1.450, -181.361,71.782, 0.222, 1.183, -0.107, -0.110
5.100, -181.828, 73.057,-1.389, 1.942, 2.248, 0.306,1.455, -181.361,71.682, 0.213, 1.174, -0.104, -0.107
5.150, -181.814, 72.961,-1.392, 1.950, 2.258, 0.308,1.460, -181.361,71.583, -0.205, 1.164, -0.124, -0.121
5.200, -181.802, 72.863,-1.396, 1.959, 2.268, 0.309,1.465, -181.362,71.483, -0.197, 1.155, -0.121, -0.118
5.250, -181.790, 72.766,-1.400, 1.967, 2.278, 0.311,1.470, -181.362,71.387, 0.190, 1.146, -0.117, -0.119
5.300, -181.778, 72.668,-1.404, 1.977, 2.287, 0.310,1.474, -181.362,71.287, 0.183, 1.137, -0.114, -0.116
5.350, -181.767, 72.569,-1.408, 1.986, 2.297, 0.311,1.479, -181.362,71.188, 0.177, 1.128, -0.110, -0.112
5.400, -181.755, 72.470,-1.411, 1.997, 2.308, 0.311,1.484, -181.362,71.088, 0.170, 1.119, -0.107, -0.109
5.450, -181.744, 72.370,-1.415, 2.006, 2.317, 0.311,1.489, -181.363,70.989, 0.164, 1.110, -0.103, -0.105
5.500, -181.733, 72.270,-1.418, 2.016, 2.327, 0.311,1.494, -181.363,70.889, 0.157, 1.102, -0.100, -0.102
5.550, -181.722, 72.169,-1.422, 2.025, 2.337, 0.312,1.498, -181.363,70.780, -0.151, 1.093, -0.097, -0.095
5.600, -181.712, 72.068,-1.425, 2.036, 2.347, 0.311,1.503, -181.363,70.680, -0.144, 1.084, -0.095, -0.093
5.650, -181.701, 71.967,-1.428, 2.044, 2.357, 0.313,1.508, -181.364,70.581, -0.138, 1.076, -0.092, -0.090
5.700, -181.690, 71.865,-1.431, 2.054, 2.368, 0.314,1.513, -181.364,70.481, 0.131, 1.068, -0.105, -0.106
5.750, -181.681, 71.762,-1.434, 2.062, 2.378, 0.316,1.518, -181.364,70.373, -0.126, 1.060, -0.101, -0.100
5.800, -181.671, 71.659,-1.438, 2.073, 2.388, 0.315,1.522, -181.364,70.273, 0.121, 1.052, -0.098, -0.100
5.850, -181.662, 71.555,-1.441, 2.082, 2.399, 0.317,1.527, -181.365,70.164, -0.116, 1.044, -0.095, -0.094
5.900, -181.653, 71.451,-1.444, 2.093, 2.409, 0.316,1.532, -181.365,70.064, 0.111, 1.036, -0.092, -0.094
5.950, -181.644, 71.346,-1.448, 2.102, 2.419, 0.317,1.537, -181.365,69.955, -0.107, 1.028, -0.089, -0.088
6.000, -181.635, 71.241,-1.451, 2.113, 2.430, 0.317,1.542, -181.365,69.855, 0.102, 1.020, -0.087, -0.088
6.050, -181.626, 71.136,-1.454, 2.123, 2.440, 0.318,1.546, -181.366,69.746, 0.097, 1.012, -0.084, -0.085
6.100, -181.618, 71.029,-1.457, 2.133, 2.451, 0.318,1.551, -181.366,69.637, -0.093, 1.005, -0.081, -0.080
6.150, -181.609, 70.923,-1.460, 2.143, 2.462, 0.319,1.556, -181.366,69.527, -0.088, 0.997, -0.089, -0.088
6.200, -181.602, 70.815,-1.463, 2.153, 2.472, 0.319,1.561, -181.366,69.428, 0.084, 0.990, -0.086, -0.087
6.250, -181.594, 70.708,-1.466, 2.162, 2.483, 0.321,1.566, -181.367,69.317, 0.081, 0.983, -0.083, -0.084
6.300, -181.587, 70.599,-1.469, 2.173, 2.494, 0.321,1.570, -181.367,69.207, 0.077, 0.976, -0.081, -0.081
6.350, -181.579, 70.490,-1.472, 2.183, 2.505, 0.322,1.575, -181.367,69.098, 0.074, 0.969, -0.078, -0.079
6.400, -181.572, 70.381,-1.474, 2.194, 2.516, 0.322,1.580, -181.367,68.988, 0.070, 0.962, -0.075, -0.076
6.450, -181.566, 70.271,-1.477, 2.204, 2.527, 0.323,1.585, -181.368,68.879, 0.067, 0.955, -0.073, -0.073
